id_jugador;confederacion;pais;pais_iso_3;categoria;liga;equipo;nombre;ciudad_nacimiento;fecha_nacimiento;puesto;trayectoria
70;CONCACAF;ANTIGUA & BARBUDA;ATG;1;Premier League;Sandals INET Grenades FC;Nelson Chaparro Agüero;Asuncion, Paraguay ;01/08/1988;DEL;['Argentino de Quilmes (ARG)', 'Fernando de la Mora (PRY)', 'Nacional de Potosi (BOL)', 'Huachacalla (BOL)', 'Sport Boys Warnes (BOL)', 'Argentino de Quilmes (ARG)', 'Persid Jember (IND)', 'Perseta FC (IND)', 'Persewangi (IND)', 'Persijap Jepara (IND)', 'Persewangi (IND)', 'Lanexan United (LAO)', 'Atletico Comalpa (SLV)', 'Belmopan Bandits (BLZ)', 'Delfines del Este (DOM)', 'Sandals INET Grenades FC (ATG)']
71;CONCACAF;BELICE;BLZ;1;Premier League;San Pedro Pirates;Pablo Mendizabal;;;DEF;['Union de Santa Fe (ARG)', 'Cosmos de Santa Fe (ARG)', 'San Pedro Pirates (BLZ)']
72;CONCACAF;CANADA;CAN;2;Ontario League 1;Darby FC;Adrian Gallo;Canada ;08/12/1993;VOL;['Independiente (ARG)', 'Atlanta (ARG)', 'York Lions (CAN)', 'International Toronto (CAN)', 'Woodbridge (CAN)', 'Darby FC (CAN)']
73;CONCACAF;CANADA;CAN;2;Quebec Premiere League;AS Blainville;Yannick Toker;Ciudad de Buenos Aires ;;VOL;['Mc Gill (CAN)', 'CS Mont Royal-Outremont (CAN)', 'AS Blainville (CAN)']
74;CONCACAF;CANADA;CAN;3;Manitoba Major Soccer League Premier Division;CSEE Juventus;Ezequiel Lubocki;Ciudad de Buenos Aires ;14/06/1992;VOL;['University of Winnipeg (CAN)', 'Toronto Varsity Blues (CAN)', 'Winnipeg Lucania (CAN)', 'CSEE Juventus (CAN)']
75;CONCACAF;CANADA;CAN;5;Manitoba Major Soccer League 2nd Division;AC Fiorentina;Matias Fridson;;;;['AC Fiorentina (CAN)']
76;CONCACAF;CANADA;CAN;5;Manitoba Major Soccer League 2nd Division;AC Fiorentina;Martin Skiarski;;;ARQ;['Winnipeg University (CAN)', 'Ital Inter SC (CAN)', 'Inter Milan (CAN)', 'AC Fiorentina (CAN)']
77;CONCACAF;CANADA;CAN;5;Manitoba Major Soccer League 2nd Division;Dunvegan Castle;Ezequiel Szajt;;;;['Argentinos FC (CAN)', 'Habitat for Insanity (CAN)', 'Borussia Dortmund (CAN)', 'Habitat for Insanity (CAN)', 'Borussia Dortumund (CAN)', 'Dunvegan Castle (CAN)']
78;CONCACAF;CANADA;CAN;7;Manitoba Major Soccer League 4th Division;Inter Milan;Jonathan Fridson;;;;['Inter Milan (CAN)']
79;CONCACAF;CANADA;CAN;10;Manitoba Major Soccer League 7th Division;Argentinos FC;Ezequiel Szajt;;;;['Argentinos FC (CAN)', 'Habitat for Insanity (CAN)', 'Borussia Dortmund (CAN)', 'Habitat for Insanity (CAN)', 'Borussia Dortumund (CAN)', 'Argentinos FC (CAN)']
